Issue ID,Issue Link,Upstream System,Downstream System,Failure Plane,Data Plane: Properties,Failure Consequence,Fix: Pattern,Fix: Location,Discrepancy pattern type,Data Plane: Abstraction,Data Plane: Involves Data Serialization,Management Plane: Configuration Parameter or Component
SPARK-11851,https://issues.apache.org/jira/browse/SPARK-11851,Spark,Hive,Management,,Job/task crash/hang,Interaction,Code specific to downstream interaction: Connector ,Ignorance,,,Parameter
SPARK-11023,https://issues.apache.org/jira/browse/SPARK-11023,Spark,YARN,Data,Address,Job/task startup failure,Interaction,Code specific to downstream interaction: Connector ,Unsupported Operations,File,No,
FLINK-3675,https://issues.apache.org/jira/browse/FLINK-3675,Flink,YARN,Data,Custom Property,Job/task startup failure,Interaction,Code specific to downstream interaction: Connector ,Wrong API Assumptions,File,No,
FLINK-5542,https://issues.apache.org/jira/browse/FLINK-5542,Flink,YARN,Control,,Startup failure,Checking,Code specific to downstream interaction: Connector ,API Semantics Violation,,,
HIVE-7237,https://issues.apache.org/jira/browse/HIVE-7237,Hive,YARN,Control,,Runtime crash/hang,Checking,Code specific to downstream interaction: Scattered,API Semantics Violation,,,
FLINK-10435,https://issues.apache.org/jira/browse/FLINK-10435,Flink,YARN,Control,,Runtime crash/hang,Interaction,Code specific to downstream interaction: Connector ,API Semantics Violation,,,
SPARK-18910,https://issues.apache.org/jira/browse/SPARK-18910,Spark,HDFS,Data,Address,Job/task failure,Interaction,Code not specific to downstream interaction ,Unsupported Operations,File,No,
FLINK-6641,https://issues.apache.org/jira/browse/FLINK-6641,Flink,YARN,Control,,Runtime crash/hang,Interaction,Code not specific to downstream interaction ,API Semantics Violation,,,
FLINK-887,https://issues.apache.org/jira/browse/FLINK-887,Flink,YARN,Management,,Job/task crash/hang,Interaction,Code specific to downstream interaction: Connector ,Monitoring discrepancy,,,
SPARK-19187,https://issues.apache.org/jira/browse/SPARK-19187,Spark,HDFS,Data,API semantics,Job/task failure,Error handling,Code not specific to downstream interaction ,Wrong API Assumptions,File,No,
SPARK-3685,https://docs.google.com/document/d/1p0m6gFi4yj7MUd6Fc89H3acCyeWMT0jJlc9w4EP9Sc8/edit?usp=sharing,Spark,HDFS,Management,,"Unexpected Behaviour
 ",Error handling,Code not specific to downstream interaction ,Unexpected Override,,,Parameter
SPARK-4554,https://docs.google.com/document/d/1kZFkrdz9n_EWfWMqERvbh7LBccLvW2WFPLcJ_pVqa6Q/edit#,Spark,Hive,Management,,"Unexpected Behaviour
 ",Interaction,Code specific to downstream interaction: Connector ,Ignorance,,,Parameter
SPARK-3033,https://issues.apache.org/jira/browse/SPARK-3033,Spark,Hive,Data,Schema: Value,Job/task failure,Interaction,Code specific to downstream interaction: Connector ,Type Confusion,Table,Yes,
