Issue ID,Issue Link,Upstream System,Downstream System,Failure Plane,Data Plane: Properties,Failure Consequence,Fix: Pattern,Fix: Location,Discrepancy pattern type,Data Plane: Abstraction,Data Plane: Involves Data Serialization,Management Plane: Configuration Parameter or Component
HIVE-10671,https://docs.google.com/document/d/1d1eYULBng5mU65ID948Uaf3N56GgO2MCPtN7FqD_7y4/edit?usp=sharing,Hive,Spark,Data,Custom Property,Performance issues,Checking,Code specific to downstream interaction: Connector ,Wrong API Assumptions,File,No,
SPARK-18968,https://docs.google.com/document/d/1kNyP-HT3_8uHmsc46McaLG-4FZ3S4kxEsmbKBf3frkI/edit?usp=sharing,Spark,YARN,Management,,Job/task crash/hang,Error handling,Code specific to downstream interaction: Connector ,Monitoring discrepancy,,,
FLINK-4486,https://docs.google.com/document/d/14e8bgPpdAbfM6lq_zCWnZs0iqCVceLbZmfK5fFoULG8/edit?usp=sharing,Flink,YARN,Control,,Runtime crash/hang,Interaction,Code specific to downstream interaction: Connector ,State/Resource Inconsistency,,,
HIVE-12229,https://docs.google.com/document/d/18rWi6e5X3g3gq7JMeHnO_WJJDp0pClYIPzhS9bJVBAY/edit?usp=sharing,Hive,Spark,Data,Address,Job/task failure,Checking,Code specific to downstream interaction: Connector ,Unspoken Convention,File,No,
SPARK-20898,https://docs.google.com/document/d/1SzJA29qoefpXkWeVIqO9L2mhftT6py3X6wSBCr3iIrw/edit?usp=sharing,Spark,YARN,Control,,Runtime crash/hang,Interaction,Code not specific to downstream interaction ,API Semantics Violation,,,
SPARK-30495,https://issues.apache.org/jira/browse/SPARK-30495,Spark,Kafka,Management,,Job/task crash/hang,Checking,Code specific to downstream interaction: Connector ,Ignorance,,,Parameter
FLINK-3352,https://issues.apache.org/jira/browse/FLINK-3352,Flink,HDFS,Management,,Job/task crash/hang,Interaction,Code specific to downstream interaction: Scattered,Ignorance,,,Component
HBASE-10029,https://docs.google.com/document/d/1XJw3gy2bJ27ng_aEfViewNE-8Lzh6HlyFzcDx0zXGcU/edit?usp=sharing,HBase,HDFS,Control,,"Unexpected Behaviour
",Checking,Code specific to downstream interaction: Connector ,Feature inconsistency,,,
HIVE-13017,https://issues.apache.org/jira/browse/HIVE-13017,Hive,HDFS,Management,,Job/task crash/hang,Checking,Code specific to downstream interaction: Scattered,Ignorance,,,Parameter
HIVE-17489,https://issues.apache.org/jira/browse/HIVE-17489,Hive,HDFS,Management,,Job/task crash/hang,Interaction,Code not specific to downstream interaction ,Inconsistent Context,,,Component
SPARK-10006,https://docs.google.com/document/d/14Pcq5MehrnDOoa6rmUf8B7aw0LDLcuRNHeQr7EFalFc/edit?usp=sharing,Spark,HDFS,Control,,Performance issue,Others,N.A.,API Semantics Violation,,,
